date,temperature_2m_max,temperature_2m_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max,month
2024-02-01 00:00:00+00:00,25.533499,13.9335,0,0,40446.344,32400.0,6.2,7.25,45.0,2
2024-02-02 00:00:00+00:00,25.283499,12.6335,0,0,40501.066,36110.594,7.35,7.35,0.0,2
2024-02-03 00:00:00+00:00,24.183498,12.0335,0,0,40556.918,36378.254,7.45,7.45,0.0,2
2024-02-04 00:00:00+00:00,26.1335,7.1835003,0,0,40613.902,37264.68,7.5,7.5,0.0,2
2024-02-05 00:00:00+00:00,27.433498,10.2335005,0,0,40671.96,37527.438,7.5,7.5,0.0,2
2024-02-06 00:00:00+00:00,28.7335,12.1835,0,0,40731.016,37533.945,7.55,7.55,0.0,2
2024-02-07 00:00:00+00:00,28.8835,11.8335,0,0,40791.0,37489.46,7.6,7.6,0.0,2
2024-02-08 00:00:00+00:00,27.6335,11.6335,0,0,40851.832,36388.027,7.6,7.6,0.0,2
2024-02-09 00:00:00+00:00,28.933498,9.7835,0,0,40913.457,37550.816,7.65,7.65,0.0,2
2024-02-10 00:00:00+00:00,27.3335,12.6835,0,0,40975.793,32742.621,7.65,7.65,0.0,2
2024-02-11 00:00:00+00:00,23.3335,12.2335005,0,0,41038.78,23846.383,7.5,7.6,0.0,2
2024-02-12 00:00:00+00:00,22.9835,13.7835,0,0,41102.348,8180.5723,5.45,7.7,0.0,2
2024-02-13 00:00:00+00:00,25.533499,14.3835,0,0,41166.434,28742.79,6.8,7.75,0.0,2
2024-02-14 00:00:00+00:00,21.8335,14.1335,0,0,41230.973,7267.4653,4.6,7.8,62.0,2
2024-02-15 00:00:00+00:00,20.0835,12.1835,0,0,41295.902,15640.472,5.5,7.85,90.0,2
2024-02-16 00:00:00+00:00,19.533499,13.8335,0,0,41361.152,0.0,1.15,7.85,100.0,2
2024-02-17 00:00:00+00:00,18.3835,10.7335005,0,0,41426.668,32400.0,7.8,7.8,100.0,2
2024-02-18 00:00:00+00:00,22.4835,9.7335005,0,0,41492.387,38383.402,7.95,7.95,0.0,2
2024-02-19 00:00:00+00:00,26.2335,7.8835,0,0,41558.246,38340.92,8.05,8.05,0.0,2
2024-02-20 00:00:00+00:00,29.3335,11.1835,0,0,41624.19,38375.812,8.15,8.15,0.0,2
2024-02-21 00:00:00+00:00,29.683498,12.2335005,0,0,41690.16,38494.26,8.2,8.2,0.0,2
2024-02-22 00:00:00+00:00,29.783499,11.7335005,0,0,41756.2,38528.902,8.2,8.2,0.0,2
2024-02-23 00:00:00+00:00,30.4835,9.2335005,0,0,41822.86,38207.344,8.3,8.3,0.0,2
2024-02-24 00:00:00+00:00,31.183498,11.4335,0,0,41890.195,38503.91,8.35,8.35,0.0,2
2024-02-25 00:00:00+00:00,32.0835,13.0335,0,0,41958.15,38625.797,8.4,8.4,0.0,2
2024-02-26 00:00:00+00:00,32.3835,13.8835,0,0,42026.652,39034.977,8.4,8.4,0.0,2
2024-02-27 00:00:00+00:00,31.283499,14.2835,0,0,42095.656,39168.48,8.4,8.4,0.0,2
2024-02-28 00:00:00+00:00,31.3335,12.3335,0,0,42165.1,39403.453,8.35,8.45,0.0,2
2024-02-29 00:00:00+00:00,29.783499,12.5335,0,0,42234.934,38298.156,8.35,8.5,0.0,2
